Distance_(mm)	Gray_Value
0.0000	142.0000
0.0276	143.8171
0.0552	144.9668
0.0828	145.9622
0.1104	146.3430
0.1381	147.1385
0.1657	145.1929
0.1933	144.0778
0.2209	144.0000
0.2485	143.1133
0.2761	143.0000
0.3037	143.2096
0.3313	143.0836
0.3589	143.7726
0.3866	143.1347
0.4142	143.4903
0.4418	143.8881
0.4694	144.5619
0.4970	144.1983
0.5246	144.8720
0.5522	146.0399
0.5798	146.3537
0.6074	148.7018
0.6351	149.3091
0.6627	148.8008
0.6903	148.2976
0.7179	148.0000
0.7455	148.4541
0.7731	148.8337
0.8007	149.0000
0.8283	148.7400
0.8559	148.9315
0.8836	149.6415
0.9112	150.4265
0.9388	151.1420
0.9664	152.2994
0.9940	153.4096
1.0216	153.9090
1.0492	153.4427
1.0768	152.3790
1.1044	151.0074
1.1321	149.2514
1.1597	148.2925
1.1873	148.1937
1.2149	148.8260
1.2425	150.1451
1.2701	149.8641
1.2977	148.7864
1.3253	148.5976
1.3530	149.3829
1.3806	150.3703
1.4082	150.4456
1.4358	148.9407
1.4634	147.1204
1.4910	145.5043
1.5186	145.1064
1.5462	145.7429
1.5738	147.6674
1.6015	149.2627
1.6291	149.6794
1.6567	150.4398
1.6843	149.9402
1.7119	149.5063
1.7395	147.7448
1.7671	146.8488
1.7947	146.4497
1.8223	147.5097
1.8500	150.1470
1.8776	150.7195
1.9052	150.7209
1.9328	148.7843
1.9604	147.3748
1.9880	148.0439
2.0156	148.6327
2.0432	148.1263
2.0708	147.1002
2.0985	147.6308
2.1261	148.1391
2.1537	148.6200
2.1813	147.7651
2.2089	147.2255
2.2365	147.0641
2.2641	146.7163
2.2917	147.1889
2.3193	146.7550
2.3470	147.7397
2.3746	148.2046
2.4022	150.7233
2.4298	151.0058
2.4574	150.1208
2.4850	149.1334
2.5126	148.1460
2.5402	148.0000
2.5678	148.0000
2.5955	148.0000
2.6231	145.5890
2.6507	145.7911
2.6783	146.7785
2.7059	147.7659
2.7335	148.6106
2.7611	148.2516
2.7887	147.5318
2.8163	146.8638
2.8440	147.2858
2.8716	147.1886
2.8992	147.1567
2.9268	147.6891
2.9544	147.9118
2.9820	148.3921
3.0096	148.5924
3.0372	149.0475
3.0648	150.4774
3.0925	151.6361
3.1201	152.6234
3.1477	153.7705
3.1753	153.8140
3.2029	152.9863
3.2305	152.6852
3.2581	152.8449
3.2857	152.5032
3.3133	153.0653
3.3410	153.9980
3.3686	154.2720
3.3962	154.9405
3.4238	156.0863
3.4514	155.6113
3.4790	155.0719
3.5066	155.0000
3.5342	155.0000
3.5618	154.6245
3.5895	154.0000
3.6171	154.0277
3.6447	154.3105
3.6723	154.5126
3.6999	153.8750
3.7275	154.2080
3.7551	156.0000
3.7827	155.9668
3.8103	155.9611
3.8380	155.8014
3.8656	155.7266
3.8932	156.1162
3.9208	156.6777
3.9484	157.2034
3.9760	158.9948
4.0036	159.1295
4.0312	158.8386
4.0589	157.8512
4.0865	156.9134
4.1141	156.2296
4.1417	156.1954
4.1693	156.6767
4.1969	154.3646
4.2245	153.0260
4.2521	151.2536
4.2797	151.5766
4.3074	153.1189
4.3350	154.0212
4.3626	154.7591
4.3902	154.0014
4.4178	154.4410
4.4454	154.2879
4.4730	154.1282
4.5006	152.0738
4.5282	150.8741
4.5559	149.1284
4.5835	149.0000
4.6111	149.8970
4.6387	150.7340
4.6663	151.8615
4.6939	151.8506
4.7215	151.6909
4.7491	150.6452
4.7767	150.6285
4.8044	150.7882
4.8320	151.7027
4.8596	152.7836
4.8872	152.4351
4.9148	151.6686
4.9424	151.2785
4.9700	152.2261
4.9976	154.3212
5.0252	156.4354
5.0529	158.2341
5.0805	157.2490
5.1081	156.4551
5.1357	156.2954
5.1633	156.1357
5.1909	155.9760
5.2185	156.4362
5.2461	156.6566
5.2737	157.0916
5.3014	159.4694
5.3290	160.4305
5.3566	160.0099
5.3842	159.3910
5.4118	159.0000
5.4394	159.5192
5.4670	160.5066
5.4946	161.4940
5.5222	162.0000
5.5499	161.8998
5.5775	162.1963
5.6051	162.5804
5.6327	163.1014
5.6603	164.0000
5.6879	164.3647
5.7155	165.0813
5.7431	166.0314
5.7707	167.0000
5.7984	167.0000
5.8260	167.0000
5.8536	167.6606
5.8812	169.3177
5.9088	170.3051
5.9364	171.0983
5.9640	171.6369
5.9916	171.9079
6.0192	171.8151
6.0469	171.7327
6.0745	170.9050
6.1021	170.0773
6.1297	169.4539
6.1573	169.8054
6.1849	170.8713
6.2125	171.9545
6.2401	173.1683
6.2677	174.1111
6.2954	173.0788
6.3230	170.9113
6.3506	169.4151
6.3782	168.8279
6.4058	166.9960
6.4334	166.7894
6.4610	166.7894
6.4886	169.4509
6.5163	169.0000
6.5439	168.9845
6.5715	167.9971
6.5991	167.0097
6.6267	165.0446
6.6543	164.0349
6.6819	161.4778
6.7095	160.0717
6.7371	160.0000
6.7648	160.9147
6.7924	160.7413
6.8200	161.4430
6.8476	158.7630
6.8752	156.5054
6.9028	155.2227
6.9304	154.9284
6.9580	154.5525
6.9856	152.8921
7.0133	152.7847
7.0409	153.1230
7.0685	153.1162
7.0961	151.4625
7.1237	149.3454
7.1513	147.1603
7.1789	146.4774
7.2065	147.9707
7.2341	150.4179
7.2618	153.0629
7.2894	153.8386
7.3170	154.1046
7.3446	154.1682
7.3722	153.3623
7.3998	153.0000
7.4274	153.0000
7.4550	153.0239
7.4826	153.4434
7.5103	154.2005
7.5379	156.5106
7.5655	158.8335
7.5931	160.9101
7.6207	162.0038
7.6483	162.7493
7.6759	163.8964
7.7035	165.0435
7.7311	165.9852
7.7588	167.3936
7.7864	169.4686
7.8140	170.0854
7.8416	170.6285
7.8692	171.4110
7.8968	172.3984
7.9244	173.4496
7.9520	174.0057
7.9796	174.7212
8.0073	176.3480
8.0349	177.3354
8.0625	178.0000
8.0901	178.0000
8.1177	178.0000
8.1453	177.6347
8.1729	177.2725
8.2005	178.2599
8.2281	179.0000
8.2558	179.0000
8.2834	179.0198
8.3110	179.2652
8.3386	180.0000
8.3662	179.8157
8.3938	178.9226
8.4214	178.7555
8.4490	178.8535
8.4766	178.0248
8.5043	178.0000
8.5319	178.1088
8.5595	179.0000
8.5871	178.9442
8.6147	178.1019
8.6423	177.0109
8.6699	177.1465
8.6975	177.2629
8.7251	175.9904
8.7528	175.3854
8.7804	176.4238
8.8080	177.0927
8.8356	173.9845
8.8632	172.3268
8.8908	171.4791
8.9184	171.9719
8.9460	171.0801
8.9736	170.0927
9.0013	168.2736
9.0289	166.4585
9.0565	164.6434
9.0841	163.6852
9.1117	165.8940
9.1393	165.9081
9.1669	164.3406
9.1945	162.3520
9.2222	159.6182
9.2498	158.2187
9.2774	156.4625
9.3050	155.8637
9.3326	155.9641
9.3602	156.8701
9.3878	157.8025
9.4154	157.2942
9.4430	157.6932
9.4707	158.0000
9.4983	158.6263
9.5259	159.7192
9.5535	159.2838
9.5811	159.2135
9.6087	159.7796
9.6363	160.0000
9.6639	160.0000
9.6915	160.5798
9.7192	162.7018
9.7468	164.5547
9.7744	165.5421
9.8020	165.4705
9.8296	165.5169
9.8572	166.5180
9.8848	167.7504
9.9124	169.1454
9.9400	170.2223
9.9677	171.1065
9.9953	174.0189
10.0229	177.8414
10.0505	179.4161
10.0781	180.6895
10.1057	182.3309
10.1333	183.3892
10.1609	183.9611
10.1885	184.7167
10.2162	186.2805
10.2438	190.0000
10.2714	190.1291
10.2990	190.6995
10.3266	191.0000
10.3542	191.2776
10.3818	191.9647
10.4094	192.0000
10.4370	192.3280
10.4647	193.8619
10.4923	195.2147
10.5199	196.2021
10.5475	196.8054
10.5751	196.0000
10.6027	196.0000
10.6303	196.0781
10.6579	196.0767
10.6855	194.1705
10.7132	193.8901
10.7408	193.0000
10.7684	193.0000
10.7960	193.0000
10.8236	193.0635
10.8512	194.0000
10.8788	194.0383
10.9064	195.0000
10.9340	194.9737
10.9617	192.9985
10.9893	190.5909
11.0169	188.0670
11.0445	188.0000
11.0721	188.9908
11.0997	190.8877
11.1273	191.5920
11.1549	191.0421
11.1825	187.4007
11.2102	185.2255
11.2378	182.3761
11.2654	179.6872
11.2930	179.3662
11.3206	179.0411
11.3482	180.3983
11.3758	178.3623
11.4034	177.9571
11.4311	176.4021
11.4587	175.2261
11.4863	172.7161
11.5139	170.8051
11.5415	167.2999
11.5691	164.6377
11.5967	163.3641
11.6243	163.2347
11.6519	162.4382
11.6796	161.3268
11.7072	159.8679
11.7348	158.4785
11.7624	158.0000
11.7900	157.8799
11.8176	158.6526
11.8452	160.4767
11.8728	160.7430
11.9004	160.6444
11.9281	161.0000
11.9557	162.0945
11.9833	163.5346
12.0109	164.2764
12.0385	164.8792
12.0661	166.0994
12.0937	167.4843
12.1213	168.8340
12.1489	170.3136
12.1766	172.7859
12.2042	175.8678
12.2318	180.0552
12.2594	184.4632
12.2870	186.1475
12.3146	188.0872
12.3422	189.6432
12.3698	192.6141
12.3974	194.1536
12.4251	195.7109
12.4527	197.6411
12.4803	199.3080
12.5079	200.8861
12.5355	203.0000
12.5631	202.7298
12.5907	201.7424
12.6183	200.2690
12.6459	198.3427
12.6736	199.8792
12.7012	203.0000
12.7288	203.0000
12.7564	202.8576
12.7840	201.8884
12.8116	201.0000
12.8392	201.1442
12.8668	202.1871
12.8944	203.7499
12.9221	205.0276
12.9497	205.1841
12.9773	205.9660
13.0049	206.8489
13.0325	207.6205
13.0601	207.4173
13.0877	206.2702
13.1153	205.1912
13.1429	208.0000
13.1706	208.0000
13.1982	208.0000
13.2258	206.0641
13.2534	205.6724
13.2810	205.0468
13.3086	205.0218
13.3362	205.7926
13.3638	203.8941
13.3914	204.4368
13.4191	204.3847
13.4467	204.0299
13.4743	201.4362
13.5019	199.2215
13.5295	197.0870
13.5571	194.4737
13.5847	192.3915
13.6123	190.2056
13.6399	187.5558
13.6676	184.7410
13.6952	180.6031
13.7228	176.7791
13.7504	173.8775
13.7780	170.5186
13.8056	169.8071
13.8332	168.6366
13.8608	167.6629
13.8884	166.3291
13.9161	164.6737
13.9437	163.8832
13.9713	162.6732
13.9989	162.0190
14.0265	163.6794
14.0541	164.1214
14.0817	163.5518
14.1093	163.1706
14.1370	163.0000
14.1646	163.0392
14.1922	163.5683
14.2198	164.7685
14.2474	166.9108
14.2750	167.7229
14.3026	167.6203
14.3302	168.8753
14.3578	171.4249
14.3855	173.9930
14.4131	175.7374
14.4407	178.6839
14.4683	183.5552
14.4959	188.9142
14.5235	191.7522
14.5511	193.0593
14.5787	194.8397
14.6063	198.4784
14.6340	201.1542
14.6616	204.6659
14.6892	205.5742
14.7168	206.9136
14.7444	207.0000
14.7720	207.2627
14.7996	208.2501
14.8272	209.1806
14.8548	209.9199
14.8825	210.0000
14.9101	210.3995
14.9377	212.1125
14.9653	212.5389
14.9929	213.0456
15.0205	213.1219
15.0481	213.2307
15.0757	214.7538
15.1033	215.8262
15.1310	216.7203
15.1586	214.2649
15.1862	213.3153
15.2138	212.8815
15.2414	210.7470
15.2690	208.6485
15.2966	207.5361
15.3242	208.0178
15.3518	209.7914
15.3795	212.9113
15.4071	213.9762
15.4347	214.2628
15.4623	214.4333
15.4899	214.0384
15.5175	214.0000
15.5451	213.0899
15.5727	212.0303
15.6003	211.9733
15.6280	211.4692
15.6556	211.0773
15.6832	210.1528
15.7108	209.8920
15.7384	209.1780
15.7660	209.0000
15.7936	209.0000
15.8212	207.8163
15.8488	204.4997
15.8765	202.3235
15.9041	199.7436
15.9317	196.6503
15.9593	191.8638
15.9869	187.2301
16.0145	184.3532
16.0421	183.2803
16.0697	181.6758
16.0973	180.2690
16.1250	178.0630
16.1526	175.3704
16.1802	173.9651
16.2078	173.2922
16.2354	173.5953
16.2630	174.5450
16.2906	174.0776
16.3182	172.1168
16.3458	170.6638
16.3735	170.2965
16.4011	170.6566
16.4287	170.9542
16.4563	170.2305
16.4839	171.2686
16.5115	173.9388
16.5391	175.6113
16.5667	175.7344
16.5944	175.8821
16.6220	177.2782
16.6496	178.6344
16.6772	180.9689
16.7048	184.9073
16.7324	190.2542
16.7600	194.3419
16.7876	198.5718
16.8152	202.5956
16.8429	206.2620
16.8705	210.1065
16.8981	214.2471
16.9257	215.8238
