Distance_(mm)	Gray_Value
0.000	179.000
0.286	150.102
0.573	130.911
0.859	113.794
1.145	132.996
1.432	120.317
1.718	135.382
2.004	131.011
2.291	161.672
2.577	171.794
2.863	163.060
3.150	164.560
3.436	186.693
3.722	195.712
4.009	191.962
4.295	197.045
4.581	200.025
4.868	212.169
5.154	220.259
5.440	220.070
5.727	218.298
6.013	221.650
6.299	224.481
6.586	225.780
6.872	222.921
7.158	221.748
7.445	221.503
7.731	215.410
8.017	209.160
8.304	195.003
8.590	203.643
8.876	169.368
9.162	191.557
9.449	165.729
9.735	149.200
10.021	148.861
10.308	182.651
10.594	195.672
10.880	176.335
11.167	194.996
11.453	217.525
11.739	231.468
12.026	236.746
12.312	238.102
12.598	241.009
12.885	242.258
13.171	244.731
13.457	241.618
13.744	242.838
14.030	245.399
14.316	246.447
14.603	244.676
14.889	243.558
15.175	244.240
15.462	245.987
15.748	244.782
16.034	227.079
16.321	224.396
16.607	220.963
16.893	198.249
17.180	199.975
17.466	194.505
17.752	165.945
18.039	182.699
18.325	185.787
18.611	176.837
18.898	206.240
19.184	208.617
19.470	204.070
19.757	228.112
20.043	231.007
20.329	231.991
20.616	239.145
20.902	244.058
21.188	248.725
21.475	249.489
21.761	250.660
22.047	252.531
22.334	252.297
22.620	249.780
22.906	245.731
23.193	245.061
23.479	245.122
23.765	244.862
24.052	244.633
24.338	238.998
24.624	224.139
24.911	202.374
25.197	194.558
25.483	199.262
25.769	192.035
26.056	184.416
26.342	187.255
26.628	190.447
26.915	198.241
27.201	223.895
27.487	244.088
27.774	243.410
28.060	239.864
28.346	245.349
28.633	252.844
28.919	253.201
29.205	254.141
29.492	254.037
29.778	254.093
30.064	253.187
30.351	253.157
30.637	254.656
30.923	254.089
31.210	254.368
31.496	254.472
31.782	254.344
32.069	252.567
32.355	249.438
32.641	242.206
32.928	243.278
33.214	242.715
33.500	225.367
33.787	213.144
34.073	219.232
34.359	229.589
34.646	243.609
34.932	245.212
35.218	246.746
35.505	249.167
35.791	251.955
36.077	248.383
36.364	247.370
36.650	250.368
36.936	248.742
37.223	251.914
37.509	251.455
37.795	252.814
38.082	254.400
38.368	251.760
38.654	251.569
38.941	253.516
39.227	253.141
39.513	249.921
39.800	253.509
40.086	252.378
40.372	247.025
40.659	245.319
40.945	245.553
41.231	241.724
41.518	239.630
41.804	240.115
42.090	236.074
42.376	239.029
42.663	242.347
42.949	242.730
43.235	244.908
43.522	242.807
43.808	253.692
44.094	253.071
44.381	252.563
44.667	253.738
44.953	253.517
45.240	253.608
45.526	254.959
45.812	253.771
46.099	255.000
46.385	254.999
46.671	255.000
46.958	254.999
47.244	255.000
47.530	255.000
47.817	254.431
48.103	253.594
48.389	254.356
48.676	254.710
48.962	251.503
49.248	251.065
49.535	254.467
49.821	246.675
50.107	244.643
50.394	243.142
50.680	241.487
50.966	252.238
51.253	253.010
51.539	252.050
51.825	248.375
52.112	250.681
52.398	254.218
52.684	252.080
52.971	254.009
53.257	254.399
53.543	254.079
53.830	254.215
54.116	254.423
54.402	254.632
54.689	254.774
54.975	253.356
55.261	253.816
55.548	252.380
55.834	252.000
56.120	251.295
56.407	250.908
56.693	249.365
56.979	249.970
57.266	251.687
57.552	251.298
57.838	254.091
58.125	254.245
58.411	251.626
58.697	251.141
58.984	253.685
59.270	254.889
59.556	253.272
59.842	252.832
60.129	250.935
60.415	250.012
60.701	247.501
60.988	246.495
61.274	245.951
61.560	247.890
61.847	249.018
62.133	250.584
62.419	250.288
62.706	249.479
62.992	249.166
63.278	248.951
63.565	248.847
63.851	248.742
64.137	248.638
64.424	250.062
64.710	251.000
64.996	251.000
65.283	251.000
65.569	251.000
65.855	251.000
66.142	251.107
66.428	251.166
66.714	250.429
67.001	249.328
67.287	249.018
67.573	249.227
67.860	249.744
68.146	250.000
68.432	250.000
68.719	250.031
69.005	249.613
69.291	249.239
69.578	249.169
69.864	249.000
70.150	249.000
70.437	249.000
70.723	249.116
71.009	249.135
71.296	249.932
71.582	252.006
71.868	252.800
72.155	253.216
72.441	254.000
72.727	254.225
73.014	254.405
73.300	254.301
73.586	254.537
73.873	254.962
74.159	254.993
74.445	255.000
74.732	255.000
75.018	255.000
75.304	254.559
75.591	253.687
75.877	253.205
76.163	253.046
76.450	253.613
76.736	254.049
77.022	254.017
77.308	252.810
77.595	250.488
77.881	249.337
78.167	248.686
78.454	249.239
78.740	248.270
79.026	248.885
79.313	249.221
79.599	248.718
79.885	247.810
80.172	247.485
80.458	247.755
80.744	247.491
81.031	251.571
81.317	254.326
81.603	253.714
81.890	253.120
82.176	251.952
82.462	250.962
82.749	247.447
83.035	246.877
83.321	246.290
83.608	245.616
83.894	244.904
84.180	245.728
84.467	247.781
84.753	249.356
85.039	250.580
85.326	254.092
85.612	254.816
85.898	254.666
86.185	254.155
86.471	253.509
86.757	253.281
87.044	253.684
87.330	254.092
87.616	253.192
87.903	249.225
88.189	250.807
88.475	252.520
88.762	251.919
89.048	254.447
89.334	254.460
89.621	254.407
89.907	255.000
90.193	255.000
90.480	254.504
90.766	247.128
91.052	243.904
91.339	239.083
91.625	235.231
91.911	238.521
92.198	240.479
92.484	240.165
92.770	245.729
93.057	239.876
93.343	247.000
93.629	254.537
93.915	247.336
94.202	252.845
94.488	254.389
94.774	254.985
95.061	253.198
95.347	253.650
95.633	254.802
95.920	254.997
96.206	255.000
96.492	253.518
96.779	250.692
97.065	254.692
97.351	247.485
97.638	249.402
97.924	250.841
98.210	248.225
98.497	250.368
98.783	237.854
99.069	240.052
99.356	241.086
99.642	236.752
99.928	231.330
100.215	232.310
100.501	234.647
100.787	238.012
101.074	234.248
101.360	239.418
101.646	242.691
101.933	246.182
102.219	249.008
102.505	248.531
102.792	246.754
103.078	249.085
103.364	252.882
103.651	250.711
103.937	251.622
104.223	254.248
104.510	251.248
104.796	251.940
105.082	254.454
105.369	250.546
105.655	248.575
105.941	246.365
106.228	244.205
106.514	244.167
106.800	242.506
107.087	243.406
107.373	238.829
107.659	225.942
107.946	197.125
108.232	215.824
108.518	222.720
108.805	229.895
109.091	233.800
109.377	228.797
109.664	239.174
109.950	244.554
110.236	244.196
110.522	246.861
110.809	248.302
111.095	248.891
111.381	248.569
111.668	248.344
111.954	249.423
112.240	249.908
112.527	252.288
112.813	254.621
113.099	255.000
113.386	253.005
113.672	252.360
113.958	251.910
114.245	247.789
114.531	240.324
114.817	233.272
115.104	234.916
115.390	231.106
115.676	217.838
115.963	202.817
116.249	200.170
116.535	207.310
116.822	191.971
117.108	190.805
117.394	215.325
117.681	220.530
117.967	224.256
118.253	229.167
118.540	224.101
118.826	223.637
119.112	228.545
119.399	231.059
119.685	234.488
119.971	237.283
120.258	233.785
120.544	234.466
120.830	238.140
121.117	241.238
121.403	240.404
121.689	239.446
121.976	235.394
122.262	230.345
122.548	228.220
122.835	225.835
123.121	225.588
123.407	220.251
123.694	218.396
123.980	209.828
124.266	198.854
124.553	197.082
124.839	179.863
125.125	179.858
125.412	194.797
125.698	185.921
125.984	185.448
126.271	194.696
126.557	198.388
126.843	206.167
127.130	210.602
127.416	214.983
127.702	216.778
127.988	216.154
128.275	220.754
128.561	227.220
128.847	230.711
129.134	236.093
129.420	226.850
129.706	225.877
129.993	229.725
130.279	223.448
130.565	223.014
130.852	217.876
131.138	214.859
131.424	204.084
131.711	202.060
131.997	202.784
132.283	192.376
132.570	200.991
132.856	168.539
133.142	157.867
133.429	154.605
133.715	144.939
134.001	160.462
134.288	180.258
134.574	175.492
134.860	182.328
135.147	174.801
135.433	157.425
135.719	208.397
136.006	214.605
136.292	216.714
136.578	219.215
136.865	224.139
137.151	230.644
137.437	234.255
137.724	234.765
138.010	230.762
138.296	229.274
138.583	225.626
138.869	210.462
139.155	202.070
139.442	209.372
139.728	209.552
140.014	205.000
